trial_num,trial_id,datetime_start,datetime_complete,duration_sec,risk_per_trade,stop_loss_multiplier,take_profit_multiplier,tema_fast_period,tema_slow_period,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,24743,2026-01-15 23:18:52.320010,2026-01-15 23:18:56.654012,4.334002,1.3163046682282593,1.6522629925314318,3.4724015382553386,20.0,39.0,0.0001,0.0001,,,,,,,,,,,
2,24744,2026-01-15 23:18:52.576854,2026-01-15 23:18:56.959246,4.382392,2.204131251177777,2.041977438991338,3.4184437714143945,18.0,21.0,0.27758733657776324,0.27758733657776324,,,,,,,,,,,
3,24745,2026-01-15 23:18:52.613109,2026-01-15 23:18:56.928495,4.315386,2.9949912941904167,2.692125754635197,3.1724590937531563,15.0,30.0,0.24736630495008127,0.27758733657776324,,,,,,,,,,,
4,24746,2026-01-15 23:18:52.645294,2026-01-15 23:18:57.035232,4.389938,1.8716683955527516,2.4027977923206127,2.989555837877755,20.0,45.0,0.0001,0.27758733657776324,,,,,,,,,,,
5,24747,2026-01-15 23:18:56.604640,2026-01-15 23:18:56.604640,0.0,1.3163046682282593,1.6522629925314318,3.4724015382553386,20.0,39.0,0.0001,0.27758733657776324,-0.1656024972912662,-5.162395707085872,-15.935189598556498,0.34418604651162793,215,,,,,,
6,24748,2026-01-15 23:18:56.663914,2026-01-15 23:18:58.015164,1.35125,1.6738455914339363,3.7040411586706266,4.743472840289861,5.0,44.0,0.12230187169985957,0.27758733657776324,,,,,,,,,,,
7,24749,2026-01-15 23:18:56.914273,2026-01-15 23:18:56.914273,0.0,2.9949912941904167,2.692125754635197,3.1724590937531563,15.0,30.0,0.24736630495008127,0.27758733657776324,0.8605146772254472,16.454636352830843,-29.329484857069843,0.39322033898305087,295,-1.2877044317843653,-16.716164418848127,-30.462872719866517,0.38513513513513514,148,249.64351752096823
8,24750,2026-01-15 23:18:56.941389,2026-01-15 23:18:57.895350,0.953961,1.0484021561489834,1.7175430834677619,2.894456816724642,19.0,43.0,0.18158695076637651,0.27758733657776324,,,,,,,,,,,
9,24751,2026-01-15 23:18:56.952006,2026-01-15 23:18:56.952006,0.0,2.204131251177777,2.041977438991338,3.4184437714143945,18.0,21.0,0.27758733657776324,0.27758733657776324,1.0267303511776977,21.192405846327542,-23.96573924600537,0.38283828382838286,303,-0.5930833459368816,-9.432266082768436,-28.316521848809106,0.35714285714285715,154,157.76427523123212
10,24752,2026-01-15 23:18:56.969365,2026-01-15 23:18:57.969145,0.99978,2.8431282330296646,4.944667781431392,2.7321205111704865,15.0,22.0,0.2910832164763932,0.2910832164763932,,,,,,,,,,,
11,24753,2026-01-15 23:18:57.008338,2026-01-15 23:18:57.008338,0.0,1.8716683955527516,2.4027977923206127,2.989555837877755,20.0,45.0,0.0001,0.2910832164763932,-0.7001555306515896,-13.837747756406596,-25.262531020177715,0.38028169014084506,213,,,,,,
12,24754,2026-01-15 23:18:57.048922,2026-01-15 23:18:58.069829,1.020907,1.879966147606474,3.242236808256914,3.5540191058745307,16.0,39.0,0.22997088596156193,0.2910832164763932,,,,,,,,,,,
13,24755,2026-01-15 23:18:57.874993,2026-01-15 23:18:57.874993,0.0,1.0484021561489834,1.7175430834677619,2.894456816724642,19.0,43.0,0.18158695076637651,0.2910832164763932,0.49872822921507076,4.774097252987495,-13.867919185467592,0.39712918660287083,209,0.1569423515478772,0.22064922773753043,-13.838172936249915,0.4017857142857143,112,68.53148822257711
14,24756,2026-01-15 23:18:57.924079,2026-01-15 23:18:58.895074,0.970995,2.4266522775505557,3.9814349830618014,4.596643843851377,7.0,21.0,0.4661453175437538,0.4661453175437538,,,,,,,,,,,
15,24757,2026-01-15 23:18:57.960387,2026-01-15 23:18:57.960387,0.0,2.8431282330296646,4.944667781431392,2.7321205111704865,15.0,22.0,0.2910832164763932,0.4661453175437538,1.1009576906201626,15.169450192889187,-22.266347286246813,0.44072948328267475,329,-2.0448274530410098,-15.836634717154501,-20.558592490905614,0.4012345679012346,162,285.73170163234624
16,24758,2026-01-15 23:18:57.978732,2026-01-15 23:18:59.011236,1.032504,2.6005416764346334,4.958986935801379,1.9287896382536514,9.0,29.0,0.282088253625061,0.4661453175437538,,,,,,,,,,,
17,24759,2026-01-15 23:18:57.996951,2026-01-15 23:18:57.996951,0.0,1.6738455914339363,3.7040411586706266,4.743472840289861,5.0,44.0,0.12230187169985957,0.4661453175437538,0.17266029434922756,0.5142320893690905,-11.945512200377639,0.3333333333333333,429,0.11133632326121504,-0.18769308438566668,-11.691623634738434,0.32367149758454106,207,35.51712414203171
18,24760,2026-01-15 23:18:58.023103,2026-01-15 23:18:59.099994,1.076891,2.6026667217241397,4.9171223365016665,1.7210659228720022,10.0,26.0,0.4817728201713319,0.4817728201713319,,,,,,,,,,,
19,24761,2026-01-15 23:18:58.053473,2026-01-15 23:18:58.053473,0.0,1.879966147606474,3.242236808256914,3.5540191058745307,16.0,39.0,0.22997088596156193,0.4817728201713319,0.7648398727885904,9.158283731257036,-12.364344691212537,0.425531914893617,235,-0.18496592766406836,-2.846434205871128,-16.42463116185977,0.4166666666666667,120,124.18361466821631
20,24762,2026-01-15 23:18:58.079296,2026-01-15 23:18:59.169387,1.090091,2.6449314077020896,4.962996639801742,2.116139618833328,12.0,27.0,0.26463706064304393,0.4817728201713319,,,,,,,,,,,
21,24763,2026-01-15 23:18:58.870903,2026-01-15 23:18:58.870903,0.0,2.4266522775505557,3.9814349830618014,4.596643843851377,7.0,21.0,0.4661453175437538,0.4817728201713319,2.063799246490646,40.45767724249391,-11.008929729281192,0.4012738853503185,471,-0.2917503708870156,-3.6875311934273167,-13.30195241691835,0.3898305084745763,236,114.13656737122653
22,24764,2026-01-15 23:18:58.916035,2026-01-15 23:19:00.013500,1.097465,2.5163712109385385,4.323549250297557,4.13405998489332,8.0,27.0,0.1932807490322057,0.4817728201713319,,,,,,,,,,,
23,24765,2026-01-15 23:18:58.973746,2026-01-15 23:18:58.973746,0.0,2.6005416764346334,4.958986935801379,1.9287896382536514,9.0,29.0,0.282088253625061,0.4817728201713319,1.0514853949378355,12.069424319782303,-13.017424339084016,0.4701298701298701,385,-3.182968280694562,-19.514430657183365,-22.323434689341827,0.4148936170212766,188,402.71160170348736
24,24766,2026-01-15 23:18:59.037006,2026-01-15 23:19:00.462899,1.425893,2.3345046272986916,4.382987063363351,4.178918794640312,9.0,25.0,0.33417489942538886,0.4817728201713319,,,,,,,,,,,
25,24767,2026-01-15 23:18:59.087939,2026-01-15 23:18:59.087939,0.0,2.6026667217241397,4.9171223365016665,1.7210659228720022,10.0,26.0,0.4817728201713319,0.4817728201713319,2.1497505109423254,25.636111173945537,-13.19087382201709,0.5150684931506849,365,-3.0503388860488205,-18.20768945420915,-20.66199404083506,0.45054945054945056,182,241.89269268794033
26,24768,2026-01-15 23:18:59.110223,2026-01-15 23:19:00.243720,1.133497,2.397990894812463,4.4271189289024475,1.5164628477567923,11.0,26.0,0.38259971052418607,0.4817728201713319,,,,,,,,,,,
