trial_num,trial_id,datetime_start,datetime_complete,duration_sec,bb_period,bb_std_dev,ema_period,stoch_overbought,stoch_oversold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
26,22268,2026-01-15 22:45:20.288975,2026-01-15 22:45:22.253887,1.964912,28.0,2.3075129379180894,46.0,76.0,20.0,0.0001,0.0001,,,,,,,,,,,
27,22269,2026-01-15 22:45:20.353599,2026-01-15 22:45:20.353599,0.0,30.0,2.0090376586619616,56.0,83.0,20.0,0.0001,0.0001,-1.5163589747470634,-8.301750193805594,-10.763011535715405,0.59375,32,,,,,,
28,22270,2026-01-15 22:45:20.399931,2026-01-15 22:45:22.388218,1.988287,20.0,2.3148209390415926,46.0,76.0,25.0,0.0001,0.0001,,,,,,,,,,,
29,22271,2026-01-15 22:45:22.132527,2026-01-15 22:45:22.132527,0.0,29.0,2.0060092423876315,56.0,84.0,20.0,0.0001,0.0001,-0.9020639516830854,-5.58033256229267,-8.837425341909489,0.6129032258064516,31,,,,,,
30,22272,2026-01-15 22:45:22.169278,2026-01-15 22:45:23.729477,1.560199,20.0,2.3425582136865932,70.0,75.0,25.0,0.0001,0.0001,,,,,,,,,,,
31,22273,2026-01-15 22:45:22.240763,2026-01-15 22:45:22.240763,0.0,28.0,2.3075129379180894,46.0,76.0,20.0,0.0001,0.0001,-1.7343389901926405,-10.720719090942454,-12.739605450541713,0.46808510638297873,47,,,,,,
32,22274,2026-01-15 22:45:22.260393,2026-01-15 22:45:23.945286,1.684893,21.0,2.4934824821816206,70.0,77.0,25.0,0.0001,0.0001,,,,,,,,,,,
33,22275,2026-01-15 22:45:22.291443,2026-01-15 22:45:22.291443,0.0,29.0,1.9992943070602234,53.0,83.0,20.0,0.0001,0.0001,-0.9197711404001196,-5.52464150781762,-8.870215062592113,0.6451612903225806,31,,,,,,
34,22276,2026-01-15 22:45:22.313881,2026-01-15 22:45:24.016863,1.702982,18.0,2.484237458082795,48.0,72.0,24.0,0.0001,0.0001,,,,,,,,,,,
35,22277,2026-01-15 22:45:22.366288,2026-01-15 22:45:22.366288,0.0,20.0,2.3148209390415926,46.0,76.0,25.0,0.0001,0.0001,-1.1370055216165835,-6.841528835197759,-10.499082986008501,0.6296296296296297,54,,,,,,
36,22278,2026-01-15 22:45:22.401737,2026-01-15 22:45:24.322984,1.921247,22.0,2.4853770693998896,50.0,86.0,22.0,0.0001,0.0001,,,,,,,,,,,
37,22279,2026-01-15 22:45:23.721633,2026-01-15 22:45:23.721633,0.0,20.0,2.3425582136865932,70.0,75.0,25.0,0.0001,0.0001,-0.8413416783359596,-6.567703632746201,-7.592461424764608,0.6621621621621622,74,,,,,,
38,22280,2026-01-15 22:45:23.734570,2026-01-15 22:45:25.788420,2.05385,22.0,2.4710233268015944,49.0,86.0,22.0,0.0001,0.0001,,,,,,,,,,,
39,22281,2026-01-15 22:45:23.925576,2026-01-15 22:45:23.925576,0.0,21.0,2.4934824821816206,70.0,77.0,25.0,0.0001,0.0001,-1.073940603950874,-8.076718380626621,-9.198261629326044,0.647887323943662,71,,,,,,
40,22282,2026-01-15 22:45:23.960653,2026-01-15 22:45:26.026828,2.066175,17.0,2.2254765646061667,50.0,72.0,22.0,0.0001,0.0001,,,,,,,,,,,
41,22283,2026-01-15 22:45:24.002099,2026-01-15 22:45:24.002099,0.0,18.0,2.484237458082795,48.0,72.0,24.0,0.0001,0.0001,-2.129446973138268,-13.520267725510735,-17.76836306417785,0.6031746031746031,63,,,,,,
42,22284,2026-01-15 22:45:24.029233,2026-01-15 22:45:27.438307,3.409074,26.0,2.2421102811209086,50.0,86.0,22.0,0.0001,0.0001,,,,,,,,,,,
