trial_num,trial_id,datetime_start,datetime_complete,duration_sec,buy_threshold,rsi_period,sell_threshold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
32,27774,2026-01-15 23:57:56.451844,2026-01-15 23:57:56.814425,0.362581,44.0,24.0,75.0,0.0001,0.09410979405530626,,,,,,,,,,,
33,27775,2026-01-15 23:57:56.531181,2026-01-15 23:57:56.531181,0.0,20.0,12.0,60.0,0.0001,0.09410979405530626,,,,,,,,,,,
34,27776,2026-01-15 23:57:56.545839,2026-01-15 23:57:56.875951,0.330112,44.0,23.0,75.0,0.0001,0.09410979405530626,,,,,,,,,,,
35,27777,2026-01-15 23:57:56.662360,2026-01-15 23:57:56.662360,0.0,39.0,24.0,75.0,0.0001,0.09410979405530626,,,,,,,,,,,
36,27778,2026-01-15 23:57:56.686017,2026-01-15 23:57:57.151499,0.465482,44.0,23.0,70.0,0.051896549923979796,0.09410979405530626,,,,,,,,,,,
37,27779,2026-01-15 23:57:56.715577,2026-01-15 23:57:56.715577,0.0,45.0,24.0,75.0,0.0001,0.09410979405530626,,,,,,,,,,,
38,27780,2026-01-15 23:57:56.728727,2026-01-15 23:57:57.007009,0.278282,36.0,23.0,71.0,0.0001,0.09410979405530626,,,,,,,,,,,
39,27781,2026-01-15 23:57:56.804579,2026-01-15 23:57:56.804579,0.0,44.0,24.0,75.0,0.0001,0.09410979405530626,,,,,,,,,,,
40,27782,2026-01-15 23:57:56.818839,2026-01-15 23:57:57.110637,0.291798,36.0,22.0,70.0,0.0001,0.09410979405530626,,,,,,,,,,,
41,27783,2026-01-15 23:57:56.864209,2026-01-15 23:57:56.864209,0.0,44.0,23.0,75.0,0.0001,0.09410979405530626,,,,,,,,,,,
42,27784,2026-01-15 23:57:56.883469,2026-01-15 23:57:57.241215,0.357746,35.0,30.0,70.0,0.0001,0.09410979405530626,,,,,,,,,,,
43,27785,2026-01-15 23:57:57.000802,2026-01-15 23:57:57.000802,0.0,36.0,23.0,71.0,0.0001,0.09410979405530626,,,,,,,,,,,
44,27786,2026-01-15 23:57:57.011595,2026-01-15 23:57:57.455524,0.443929,41.0,16.0,69.0,0.17202505700813275,0.17202505700813275,,,,,,,,,,,
45,27787,2026-01-15 23:57:57.099069,2026-01-15 23:57:57.099069,0.0,36.0,22.0,70.0,0.0001,0.17202505700813275,,,,,,,,,,,
46,27788,2026-01-15 23:57:57.118185,2026-01-15 23:57:57.591520,0.473335,41.0,17.0,68.0,0.11432278835674747,0.17202505700813275,,,,,,,,,,,
47,27789,2026-01-15 23:57:57.144317,2026-01-15 23:57:57.144317,0.0,44.0,23.0,70.0,0.051896549923979796,0.17202505700813275,0.1754980157735868,0.15938707350004222,-20.704862998789785,0.7142857142857143,7,0.11778250445520588,-0.16162835749997384,-12.590807400336923,0.5,4,32.88670305699682
48,27790,2026-01-15 23:57:57.159695,2026-01-15 23:57:57.685766,0.526071,41.0,16.0,68.0,0.16904467882450422,0.17202505700813275,,,,,,,,,,,
49,27791,2026-01-15 23:57:57.219424,2026-01-15 23:57:57.219424,0.0,35.0,30.0,70.0,0.0001,0.17202505700813275,,,,,,,,,,,
50,27792,2026-01-15 23:57:57.246100,2026-01-15 23:57:57.655406,0.409306,41.0,7.0,68.0,0.0001,0.17202505700813275,,,,,,,,,,,
51,27793,2026-01-15 23:57:57.446248,2026-01-15 23:57:57.446248,0.0,41.0,16.0,69.0,0.17202505700813275,0.17202505700813275,1.2534363518822242,11.315927707499956,-8.113895389866189,0.75,12,0.7210814305112734,3.249572243500006,-6.72587859053081,0.7,10,42.471635721394186
52,27794,2026-01-15 23:57:57.470107,2026-01-15 23:57:57.911103,0.440996,41.0,17.0,68.0,0.11432278835674747,0.17202505700813275,,,,,,,,,,,
53,27795,2026-01-15 23:57:57.576111,2026-01-15 23:57:57.576111,0.0,41.0,17.0,68.0,0.11432278835674747,0.17202505700813275,0.7575506719242223,5.937839484500046,-8.10461298605597,0.7,10,0.9286475840184905,4.349643747000045,-6.727239151259468,0.7,10,-22.58554027279418
54,27796,2026-01-15 23:57:57.621253,2026-01-15 23:57:58.122245,0.500992,41.0,16.0,64.0,0.2157465207710978,0.2157465207710978,,,,,,,,,,,
55,27797,2026-01-15 23:57:57.646508,2026-01-15 23:57:57.646508,0.0,41.0,7.0,68.0,0.0001,0.2157465207710978,-0.6934948944840904,-7.914978637000111,-19.611145002944564,0.5384615384615384,52,,,,,,
56,27798,2026-01-15 23:57:57.660530,2026-01-15 23:57:58.174871,0.514341,42.0,16.0,65.0,0.12401539336321979,0.2157465207710978,,,,,,,,,,,
57,27799,2026-01-15 23:57:57.676732,2026-01-15 23:57:57.676732,0.0,41.0,16.0,68.0,0.16904467882450422,0.2157465207710978,1.1692872785844748,10.14172470500003,-7.6968203214060065,0.6923076923076923,13,0.43850998353436244,1.7141013629999788,-6.739756369750783,0.7,10,62.49766917286422
58,27800,2026-01-15 23:57:57.702655,2026-01-15 23:57:58.246634,0.543979,42.0,15.0,64.0,0.10249069273542022,0.2157465207710978,,,,,,,,,,,
59,27801,2026-01-15 23:57:57.905605,2026-01-15 23:57:57.905605,0.0,41.0,17.0,68.0,0.11432278835674747,0.2157465207710978,0.7575506719242223,5.937839484500046,-8.10461298605597,0.7,10,0.9286475840184905,4.349643747000045,-6.727239151259468,0.7,10,-22.58554027279418
60,27802,2026-01-15 23:57:57.918902,2026-01-15 23:57:58.798690,0.879788,42.0,15.0,65.0,0.14120464824354276,0.2157465207710978,,,,,,,,,,,
61,27803,2026-01-15 23:57:58.107593,2026-01-15 23:57:58.107593,0.0,41.0,16.0,64.0,0.2157465207710978,0.2157465207710978,1.4287364857240468,12.390867238000014,-7.897962436319695,0.7058823529411765,17,0.5850963755975706,2.1718386490000174,-7.362657549743268,0.75,12,59.04798530422782
62,27804,2026-01-15 23:57:58.137113,2026-01-15 23:57:58.931105,0.793992,42.0,15.0,64.0,0.10249069273542022,0.2157465207710978,,,,,,,,,,,
63,27805,2026-01-15 23:57:58.163193,2026-01-15 23:57:58.163193,0.0,42.0,16.0,65.0,0.12401539336321979,0.2157465207710978,0.586751539167306,5.820285853999973,-13.6150298262671,0.6666666666666666,18,0.8789403365077246,3.822700076,-7.294696141378099,0.75,12,-49.797704451714104
64,27806,2026-01-15 23:57:58.200066,2026-01-15 23:57:59.014433,0.814367,40.0,14.0,63.0,0.1378127936318974,0.2157465207710978,,,,,,,,,,,
65,27807,2026-01-15 23:57:58.228887,2026-01-15 23:57:58.228887,0.0,42.0,15.0,64.0,0.10249069273542022,0.2157465207710978,0.352655550088987,2.850940388499981,-14.374663546345746,0.6190476190476191,21,0.5488091036731305,1.9752412294999948,-6.8931871861711125,0.7692307692307693,13,-55.621853543676615
66,27808,2026-01-15 23:57:58.277056,2026-01-15 23:57:59.089747,0.812691,40.0,14.0,62.0,0.13263664586651563,0.2157465207710978,,,,,,,,,,,
67,27809,2026-01-15 23:57:58.616865,2026-01-15 23:57:58.616865,0.0,42.0,15.0,65.0,0.14120464824354276,0.2157465207710978,0.674730346823099,7.098702301000016,-14.320654557824508,0.6190476190476191,21,0.43544620835499515,1.5164864404999934,-7.652270615647094,0.75,12,35.4636692413124
68,27810,2026-01-15 23:57:58.871256,2026-01-15 23:57:59.496119,0.624863,40.0,13.0,62.0,0.07172534981352144,0.2157465207710978,,,,,,,,,,,
69,27811,2026-01-15 23:57:58.908312,2026-01-15 23:57:58.908312,0.0,42.0,15.0,64.0,0.10249069273542022,0.2157465207710978,0.352655550088987,2.850940388499981,-14.374663546345746,0.6190476190476191,21,0.5488091036731305,1.9752412294999948,-6.8931871861711125,0.7692307692307693,13,-55.621853543676615
70,27812,2026-01-15 23:57:58.953053,2026-01-15 23:57:59.947614,0.994561,40.0,13.0,66.0,0.09764360196092073,0.2157465207710978,,,,,,,,,,,
71,27813,2026-01-15 23:57:58.994716,2026-01-15 23:57:58.994716,0.0,40.0,14.0,63.0,0.1378127936318974,0.2157465207710978,0.6465123342160396,6.210717543500048,-12.753467051566414,0.6666666666666666,21,1.632163713811998,4.939526263500073,-4.605240091993346,0.7857142857142857,14,-152.45670150920765
72,27814,2026-01-15 23:57:59.027796,2026-01-15 23:57:59.884977,0.857181,43.0,19.0,62.0,0.18669829197877053,0.2157465207710978,,,,,,,,,,,
73,27815,2026-01-15 23:57:59.066426,2026-01-15 23:57:59.066426,0.0,40.0,14.0,62.0,0.13263664586651563,0.2157465207710978,0.6034501692287577,5.681441857500005,-13.294161569501096,0.6190476190476191,21,0.6207994000922957,1.5885775100000992,-4.5733421123190565,0.6428571428571429,14,-2.8750063796835583
74,27816,2026-01-15 23:57:59.127949,2026-01-15 23:58:00.000238,0.872289,43.0,19.0,66.0,0.11324060115392075,0.2157465207710978,,,,,,,,,,,
75,27817,2026-01-15 23:57:59.478736,2026-01-15 23:57:59.478736,0.0,40.0,13.0,62.0,0.07172534981352144,0.2157465207710978,0.057592727156446394,-0.7270288380000767,-17.168221902075032,0.5769230769230769,26,-0.5862388298208806,-1.792539042499981,-4.570042515375771,0.5714285714285714,14,1117.9042715383248
76,27818,2026-01-15 23:57:59.504859,2026-01-15 23:58:00.801797,1.296938,43.0,19.0,66.0,0.11324060115392075,0.2157465207710978,,,,,,,,,,,
77,27819,2026-01-15 23:57:59.843669,2026-01-15 23:57:59.843669,0.0,43.0,19.0,62.0,0.18669829197877053,0.2157465207710978,1.2055453288273448,10.110294122500092,-7.907467162881265,0.75,16,0.6335739995568782,2.6355896635000113,-7.666410663189849,0.75,12,47.44502886729553
78,27820,2026-01-15 23:57:59.895458,2026-01-15 23:58:01.038949,1.143491,43.0,19.0,61.0,0.21607501455463257,0.21607501455463257,,,,,,,,,,,
79,27821,2026-01-15 23:57:59.922372,2026-01-15 23:57:59.922372,0.0,40.0,13.0,66.0,0.09764360196092073,0.21607501455463257,0.30010538924467256,2.2337886615000637,-16.825456306287766,0.5909090909090909,22,0.8487887975936733,2.715041626500041,-5.3737570866729145,0.6666666666666666,12,-182.83024164609898
80,27822,2026-01-15 23:57:59.958614,2026-01-15 23:58:01.131008,1.172394,43.0,19.0,61.0,0.21607501455463257,0.21607501455463257,,,,,,,,,,,
81,27823,2026-01-15 23:57:59.986839,2026-01-15 23:57:59.986839,0.0,43.0,19.0,66.0,0.11324060115392075,0.21607501455463257,0.696135358396405,5.490305895999988,-8.072150903021512,0.7272727272727273,11,1.0190103429574768,4.887541941500017,-6.705569482978236,0.7,10,-46.3810637782911
82,27824,2026-01-15 23:58:00.031206,2026-01-15 23:58:00.900947,0.869741,43.0,20.0,61.0,0.1760885814718663,0.21607501455463257,,,,,,,,,,,
83,27825,2026-01-15 23:58:00.760880,2026-01-15 23:58:00.760880,0.0,43.0,19.0,66.0,0.11324060115392075,0.21607501455463257,0.696135358396405,5.490305895999988,-8.072150903021512,0.7272727272727273,11,1.0190103429574768,4.887541941500017,-6.705569482978236,0.7,10,-46.3810637782911
84,27826,2026-01-15 23:58:00.853521,2026-01-15 23:58:01.311746,0.458225,45.0,20.0,61.0,0.0001,0.21607501455463257,,,,,,,,,,,
85,27827,2026-01-15 23:58:00.891204,2026-01-15 23:58:00.891204,0.0,43.0,20.0,61.0,0.1760885814718663,0.21607501455463257,1.1469592655129361,9.325291181000102,-7.9166708824380265,0.6666666666666666,15,0.9259966633671145,4.09983038199998,-7.096461562847278,0.75,12,19.26507843737625
86,27828,2026-01-15 23:58:00.912477,2026-01-15 23:58:01.611618,0.699141,45.0,17.0,61.0,0.0001,0.21607501455463257,,,,,,,,,,,
87,27829,2026-01-15 23:58:01.004553,2026-01-15 23:58:01.004553,0.0,43.0,19.0,61.0,0.21607501455463257,0.21607501455463257,1.431673163188752,11.97461480099999,-7.835790675181952,0.7058823529411765,17,0.9204165525654933,3.64271379550003,-7.194559975436476,0.7857142857142857,14,35.71042775465189
88,27830,2026-01-15 23:58:01.069293,2026-01-15 23:58:01.684486,0.615193,45.0,20.0,61.0,0.0001,0.21607501455463257,,,,,,,,,,,
89,27831,2026-01-15 23:58:01.104924,2026-01-15 23:58:01.104924,0.0,43.0,19.0,61.0,0.21607501455463257,0.21607501455463257,1.431673163188752,11.97461480099999,-7.835790675181952,0.7058823529411765,17,0.9204165525654933,3.64271379550003,-7.194559975436476,0.7857142857142857,14,35.71042775465189
90,27832,2026-01-15 23:58:01.139829,2026-01-15 23:58:01.785836,0.646007,45.0,20.0,61.0,0.0001,0.21607501455463257,,,,,,,,,,,
91,27833,2026-01-15 23:58:01.285074,2026-01-15 23:58:01.285074,0.0,45.0,20.0,61.0,0.0001,0.21607501455463257,-0.08855509409104517,-2.4375598285000173,-13.735992651439311,0.5555555555555556,18,,,,,,
92,27834,2026-01-15 23:58:01.451177,2026-01-15 23:58:01.986172,0.534995,45.0,18.0,60.0,0.0001,0.21607501455463257,,,,,,,,,,,
93,27835,2026-01-15 23:58:01.592610,2026-01-15 23:58:01.592610,0.0,45.0,17.0,61.0,0.0001,0.21607501455463257,-0.07632640230259538,-2.716874546499977,-16.80733598073575,0.56,25,,,,,,
94,27836,2026-01-15 23:58:01.629996,2026-01-15 23:58:02.244166,0.61417,43.0,18.0,60.0,0.2647030284928895,0.2647030284928895,,,,,,,,,,,
95,27837,2026-01-15 23:58:01.662900,2026-01-15 23:58:01.662900,0.0,45.0,20.0,61.0,0.0001,0.2647030284928895,-0.08855509409104517,-2.4375598285000173,-13.735992651439311,0.5555555555555556,18,,,,,,
96,27838,2026-01-15 23:58:01.698366,2026-01-15 23:58:02.360152,0.661786,43.0,18.0,60.0,0.2647030284928895,0.2647030284928895,,,,,,,,,,,
97,27839,2026-01-15 23:58:01.749145,2026-01-15 23:58:01.749145,0.0,45.0,20.0,61.0,0.0001,0.2647030284928895,-0.08855509409104517,-2.4375598285000173,-13.735992651439311,0.5555555555555556,18,,,,,,
98,27840,2026-01-15 23:58:01.800348,2026-01-15 23:58:02.564846,0.764498,43.0,18.0,60.0,0.2647030284928895,0.2647030284928895,,,,,,,,,,,
99,27841,2026-01-15 23:58:01.969586,2026-01-15 23:58:01.969586,0.0,45.0,18.0,60.0,0.0001,0.2647030284928895,-0.21721986774705224,-4.479524521500026,-16.804342858395017,0.56,25,,,,,,
100,27842,2026-01-15 23:58:02.004822,2026-01-15 23:58:02.681916,0.677094,43.0,21.0,63.0,0.1495075976484093,0.2647030284928895,,,,,,,,,,,
