trial_num,trial_id,datetime_start,datetime_complete,duration_sec,bb_period,bb_std_dev,ema_period,stoch_overbought,stoch_oversold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
21,23263,2026-01-15 22:52:36.180344,2026-01-15 22:52:36.180344,0.0,16.0,1.5232608376523464,60.0,78.0,17.0,0.0001,0.10902083714081118,-0.10178276023651786,-1.216187267395083,-9.82257053714598,0.6714285714285714,70,,,,,,
22,23264,2026-01-15 22:52:36.269831,2026-01-15 22:52:36.269831,0.0,19.0,1.9717187921784145,46.0,84.0,19.0,0.0001,0.10902083714081118,-1.5035870381540526,-7.990758302086194,-11.726924128522409,0.6071428571428571,28,,,,,,
23,23265,2026-01-15 22:52:36.663729,2026-01-15 22:52:36.663729,0.0,29.0,2.1049614096761795,56.0,86.0,28.0,0.0001,0.10902083714081118,-0.7662583925063152,-4.228185063395235,-9.244983155585073,0.675,40,,,,,,
24,23266,2026-01-15 22:52:36.694324,2026-01-15 22:52:36.694324,0.0,26.0,1.9036711739066956,44.0,81.0,18.0,0.0001,0.10902083714081118,-0.5502356678504128,-3.079186404987074,-8.162055377580725,0.6153846153846154,26,,,,,,
25,23267,2026-01-15 22:52:38.333553,2026-01-15 22:52:38.333553,0.0,32.0,1.716510911374982,48.0,88.0,20.0,0.0001,0.10902083714081118,-2.2915318689870805,-8.713601737127815,-9.056267999152078,0.42857142857142855,14,,,,,,
26,23268,2026-01-15 22:52:38.661887,2026-01-15 22:52:38.661887,0.0,30.0,1.9171072756977972,52.0,82.0,22.0,0.0001,0.10902083714081118,-1.261065954700749,-6.96256020905525,-9.56726801193114,0.6285714285714286,35,,,,,,
27,23269,2026-01-15 22:52:38.973536,2026-01-15 22:52:38.973536,0.0,32.0,1.690735672396242,67.0,89.0,23.0,0.0001,0.10902083714081118,-1.4471778657098615,-7.2781896188684065,-11.219843998459755,0.5666666666666667,30,,,,,,
28,23270,2026-01-15 22:52:39.026169,2026-01-15 22:52:39.026169,0.0,32.0,2.266244379901311,58.0,82.0,27.0,0.0001,0.10902083714081118,-0.9991909481744549,-5.6357795675620475,-8.180146830818735,0.6938775510204082,49,,,,,,
29,23271,2026-01-15 22:52:39.098306,2026-01-15 22:52:39.098306,0.0,31.0,1.974680494354775,51.0,73.0,20.0,0.0001,0.10902083714081118,-0.8534829120601617,-5.044464803229374,-8.089114246467355,0.5535714285714286,56,,,,,,
30,23272,2026-01-15 22:52:39.382199,2026-01-15 22:52:39.382199,0.0,21.0,1.5486808993440364,52.0,72.0,24.0,0.0001,0.10902083714081118,-0.7189128379181985,-5.970447999391074,-14.319424205213727,0.676056338028169,71,,,,,,
31,23273,2026-01-15 22:52:40.995418,2026-01-15 22:52:40.995418,0.0,16.0,1.5225956190344139,61.0,83.0,17.0,0.0001,0.10902083714081118,-0.28586142254719554,-2.4766562419088567,-10.803085663357637,0.6615384615384615,65,,,,,,
32,23274,2026-01-15 22:52:41.588988,2026-01-15 22:52:41.588988,0.0,16.0,2.006807582117851,43.0,87.0,29.0,0.0001,0.10902083714081118,-0.7100279414642198,-4.036435670432854,-9.810228520897047,0.631578947368421,38,,,,,,
33,23275,2026-01-15 22:52:41.729803,2026-01-15 22:52:41.729803,0.0,33.0,1.9688331996963466,58.0,79.0,16.0,0.0001,0.10902083714081118,-0.287107574179892,-1.9340326758389765,-6.041799707514539,0.5813953488372093,43,,,,,,
