trial_num,trial_id,datetime_start,datetime_complete,duration_sec,risk_per_trade,stop_loss_multiplier,take_profit_multiplier,tema_fast_period,tema_slow_period,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
1,25743,2026-01-15 23:23:13.720595,2026-01-15 23:23:13.720595,0.0,2.767996914917015,2.2472045573529718,3.5827709981604556,15.0,40.0,0.2611977685238083,0.2611977685238083,0.9365877268809459,17.67739969878833,-17.870506639921768,0.4024896265560166,241,-0.5061258390843214,-9.612386507752609,-26.89600603643385,0.3790322580645161,124,154.0393413834108
2,25744,2026-01-15 23:23:15.105224,2026-01-15 23:23:15.105224,0.0,1.0784543057293883,2.9195359681780566,2.5413002697625324,9.0,25.0,0.45260915797905066,0.45260915797905066,1.9893503688847785,18.955809967147093,-9.688217944762467,0.43832020997375326,381,-0.6809806692516135,-3.183371800877749,-8.345970564352246,0.40217391304347827,184,134.23130886860156
3,25745,2026-01-15 23:23:15.267031,2026-01-15 23:23:15.267031,0.0,1.9784357522543443,4.923440035798771,2.112186131973181,16.0,21.0,0.26756789910072776,0.45260915797905066,0.9716234450540026,8.591672273665626,-17.20274533608133,0.47384615384615386,325,-3.6279738933394015,-17.590132502832688,-19.452913162061257,0.4012345679012346,162,473.3929962072662
4,25746,2026-01-15 23:23:15.313385,2026-01-15 23:23:15.313385,0.0,2.2897104743374674,1.7066015690895284,4.965613818434563,10.0,50.0,0.34788398421558225,0.45260915797905066,1.4133619131857025,34.340318556945384,-21.725179308064458,0.36823104693140796,277,-0.6496907819599282,-11.114221946678754,-26.741659781122383,0.352112676056338,142,145.96775786150428
5,25747,2026-01-15 23:23:15.373338,2026-01-15 23:23:15.373338,0.0,1.7345402705560933,2.5291529722222488,4.381210455986957,11.0,41.0,0.18973403068080993,0.45260915797905066,0.5435371687444547,6.612575298315121,-14.481775142772813,0.36271186440677966,295,0.07362575030571179,-1.3186125084029392,-15.476327612670959,0.3680555555555556,144,86.454330165537
6,25748,2026-01-15 23:23:15.630710,2026-01-15 23:23:15.630710,0.0,2.032886917494928,4.966180438328422,3.4795188219854705,19.0,24.0,0.10272122327464993,0.45260915797905066,0.06496672801057463,-0.6647375095749084,-19.080447496410578,0.3824561403508772,285,-1.2266017239783351,-7.744592695168939,-16.97825631135863,0.4097222222222222,144,1988.0460222326133
7,25749,2026-01-15 23:23:16.769531,2026-01-15 23:23:16.769531,0.0,1.3791669659217363,3.868683086329276,3.060905858127098,20.0,25.0,0.0001,0.45260915797905066,-0.008127718016376444,-1.0161215814723665,-16.703413013823265,0.4028268551236749,283,,,,,,
8,25750,2026-01-15 23:23:17.638644,2026-01-15 23:23:17.638644,0.0,1.8942105573581114,2.96254924438725,4.033931529875242,18.0,47.0,0.0001,0.45260915797905066,-1.265834648159651,-19.960076947230263,-23.507681506903243,0.3686635944700461,217,,,,,,
9,25751,2026-01-15 23:23:17.774384,2026-01-15 23:23:17.774384,0.0,2.390170685641245,2.1830470253268617,3.5267800398003306,17.0,46.0,0.0001,0.45260915797905066,-1.0518304552316995,-24.140294172818784,-28.116679841611646,0.3568075117370892,213,,,,,,
10,25752,2026-01-15 23:23:17.848821,2026-01-15 23:23:17.848821,0.0,2.816814100501025,1.6965850625221326,3.8200344528440144,20.0,26.0,0.28100768684999755,0.45260915797905066,1.0455422776749865,24.35576174582689,-32.29746053185186,0.3462897526501767,283,-1.3734188076685767,-17.842588443002803,-29.56710173937398,0.33076923076923076,130,231.3594712518658
11,25753,2026-01-15 23:23:18.057603,2026-01-15 23:23:18.057603,0.0,2.6970709887802844,4.051164316030337,3.44998864396322,15.0,43.0,0.38185566729017245,0.45260915797905066,1.6002061700959485,25.954247164421986,-12.651566169723417,0.44155844155844154,231,-0.7240439791736092,-8.233546289413983,-21.70828013113403,0.4016393442622951,122,145.24691834741492
12,25754,2026-01-15 23:23:18.378319,2026-01-15 23:23:18.378319,0.0,2.2375274925168487,2.258147344921394,1.8093691674567216,19.0,31.0,0.38834798149986854,0.45260915797905066,1.6359138982492774,30.950493403321072,-22.14248429661575,0.5344129554655871,247,-3.3895472729213014,-27.90013636839882,-33.32099354000002,0.432,125,307.19594573704205
13,25755,2026-01-15 23:23:18.434095,2026-01-15 23:23:18.434095,0.0,2.5386873788060234,2.3167007909809127,4.068104021510488,15.0,25.0,0.38399362741683146,0.45260915797905066,1.6119649507925728,42.64674479388426,-16.599643589444803,0.38436482084690554,307,-0.11237201209736637,-4.39486534927311,-26.872582869676553,0.36875,160,106.97112006325666
14,25756,2026-01-15 23:23:18.496379,2026-01-15 23:23:18.496379,0.0,2.8908767005425693,4.847557317865885,2.579683552774167,20.0,26.0,0.2130100317214893,0.45260915797905066,0.6715551744681912,8.173217439778472,-27.87407135543123,0.4381625441696113,283,-0.26422479080623656,-3.084852949838936,-15.29809304466514,0.4307692307692308,130,139.34520957499552
15,25757,2026-01-15 23:23:18.543603,2026-01-15 23:23:18.543603,0.0,1.0132993642942607,2.6018987033259413,2.6412516260031955,18.0,30.0,0.3119436401215593,0.45260915797905066,1.2156900206685761,11.489146013981845,-16.2173092516801,0.4528301886792453,265,-1.5715380470023066,-8.131776599179032,-13.325827071510554,0.3939393939393939,132,229.2712797081307
16,25758,2026-01-15 23:23:18.985080,2026-01-15 23:23:18.985080,0.0,1.8273401418282476,1.6140815058435467,4.502340352312577,16.0,23.0,0.3760992368928271,0.45260915797905066,1.5685458029105488,39.90957003661562,-22.58520172579235,0.3704918032786885,305,0.2972353737905103,0.6556981468807527,-24.428625088662436,0.33974358974358976,156,81.05025857460019
17,25759,2026-01-15 23:23:19.106835,2026-01-15 23:23:19.106835,0.0,1.061247103881693,3.299846544553061,2.190515926043208,20.0,29.0,0.5164868226324615,0.5164868226324615,2.3406775244785383,18.241049134043205,-10.314800872542252,0.5265306122448979,245,-1.5377503211419064,-5.912187201732033,-11.521907685610389,0.4462809917355372,121,165.6968038125837
18,25760,2026-01-15 23:23:19.831515,2026-01-15 23:23:19.831515,0.0,1.4732839907776816,2.4716944855166822,3.079034276481534,8.0,27.0,0.24059331464745945,0.5164868226324615,0.823263230561027,10.75091050826844,-17.243637039288096,0.3832923832923833,407,-1.401850706396223,-10.77008265340089,-18.002853473449733,0.35353535353535354,198,270.2797664655699
19,25761,2026-01-15 23:23:20.034871,2026-01-15 23:23:20.034871,0.0,1.4835581156696565,4.912867303212927,2.8950361321128972,13.0,25.0,0.1591832183495825,0.5164868226324615,0.37550770092270364,2.4017511964793172,-11.128274442716023,0.42388059701492536,335,-1.67367190334705,-6.9891922732671405,-11.269437985324027,0.39759036144578314,166,545.7090758017681
20,25762,2026-01-15 23:23:20.170333,2026-01-15 23:23:20.170333,0.0,1.8881095176306362,2.9532138359837434,4.741055199638149,17.0,48.0,0.0001,0.5164868226324615,-2.250118360363427,-31.84156008118154,-33.61998410527425,0.3377777777777778,225,,,,,,
21,25763,2026-01-15 23:23:20.356756,2026-01-15 23:23:20.356756,0.0,1.9960037584618278,4.9831538586118125,3.2000128308783955,7.0,35.0,0.12636891872504766,0.5164868226324615,0.1950290529877622,0.9211246972554488,-13.155095533900774,0.37844611528822053,399,-0.6725535357828549,-4.393900547129987,-12.928294993701616,0.36787564766839376,193,444.8478703452745
22,25764,2026-01-15 23:23:20.497079,2026-01-15 23:23:20.497079,0.0,1.0092921952895748,3.8435476614980773,3.927498657487742,17.0,28.0,0.22146475502438695,0.5164868226324615,0.7180561526341283,4.966234145679956,-9.886700668388503,0.3771626297577855,289,0.6372309336926568,2.186982849956605,-6.03543763148473,0.4117647058823529,136,11.256113974508951
23,25765,2026-01-15 23:23:20.568927,2026-01-15 23:23:20.568927,0.0,1.3525432945418103,3.5340934742018097,3.505460748919241,7.0,44.0,0.0001,0.5164868226324615,-0.08267553317569881,-1.8510481530992429,-9.857138706562008,0.36768802228412256,359,,,,,,
24,25766,2026-01-15 23:23:20.760885,2026-01-15 23:23:20.760885,0.0,1.9424002082624572,2.761490750955434,3.5563457542778076,6.0,37.0,0.0001,0.5164868226324615,-0.5275612660501708,-13.20396778078496,-22.6202411317596,0.34352941176470586,425,,,,,,
25,25767,2026-01-15 23:23:20.816433,2026-01-15 23:23:20.816433,0.0,1.4050191884819565,2.026562498310284,3.9390593145346857,19.0,25.0,0.12033768511620893,0.5164868226324615,0.16185726813914914,-0.29300446930613533,-24.67148971432418,0.34385964912280703,285,0.21943726743020972,0.34940778932592476,-16.35272680365023,0.35,140,-35.574552785333616
26,25768,2026-01-15 23:23:21.536079,2026-01-15 23:23:21.536079,0.0,2.44696080796719,2.785812993289561,3.493925079278171,17.0,26.0,0.31834891281466027,0.5164868226324615,1.2509190204806315,26.370064587634644,-27.556058422439257,0.37800687285223367,291,-1.677388852251661,-19.48924751418226,-30.597003458023742,0.3783783783783784,148,234.09252116153533
