trial_num,best_sharpe,improvement_pct
1,0.0001,
2,0.0001,0.0
3,0.0001,0.0
4,0.0001,0.0
5,0.0001,0.0
6,0.0001,0.0
7,0.0001,0.0
8,0.0001,0.0
9,0.0001,0.0
10,0.0001,0.0
11,0.0001,0.0
12,0.0001,0.0
13,0.0001,0.0
14,0.0001,0.0
15,0.0001,0.0
16,0.0001,0.0
17,0.09889136626769376,98791.36626769375
18,0.09889136626769376,98791.36626769375
19,0.09889136626769376,98791.36626769375
20,0.09889136626769376,98791.36626769375
21,0.09889136626769376,98791.36626769375
22,0.09889136626769376,98791.36626769375
23,0.09889136626769376,98791.36626769375
24,0.10251906007837935,102419.06007837936
25,0.10251906007837935,102419.06007837936
26,0.10251906007837935,102419.06007837936
27,0.10251906007837935,102419.06007837936
28,0.10251906007837935,102419.06007837936
29,0.10251906007837935,102419.06007837936
30,0.14394466799679584,143844.66799679585
31,0.14394466799679584,143844.66799679585
32,0.14394466799679584,143844.66799679585
33,0.14394466799679584,143844.66799679585
34,0.14394466799679584,143844.66799679585
35,0.14394466799679584,143844.66799679585
36,0.14394466799679584,143844.66799679585
37,0.14394466799679584,143844.66799679585
38,0.14394466799679584,143844.66799679585
39,0.14394466799679584,143844.66799679585
40,0.14394466799679584,143844.66799679585
41,0.14394466799679584,143844.66799679585
42,0.1587987776775151,158698.7776775151
43,0.1587987776775151,158698.7776775151
44,0.1587987776775151,158698.7776775151
45,0.1587987776775151,158698.7776775151
46,0.1587987776775151,158698.7776775151
47,0.1587987776775151,158698.7776775151
48,0.1587987776775151,158698.7776775151
49,0.1587987776775151,158698.7776775151
50,0.1587987776775151,158698.7776775151
51,0.1587987776775151,158698.7776775151
52,0.1587987776775151,158698.7776775151
53,0.1587987776775151,158698.7776775151
54,0.1587987776775151,158698.7776775151
55,0.1587987776775151,158698.7776775151
56,0.1587987776775151,158698.7776775151
57,0.1587987776775151,158698.7776775151
58,0.1587987776775151,158698.7776775151
59,0.1587987776775151,158698.7776775151
60,0.1587987776775151,158698.7776775151
61,0.1587987776775151,158698.7776775151
62,0.1587987776775151,158698.7776775151
63,0.1587987776775151,158698.7776775151
64,0.1896654889305539,189565.4889305539
65,0.1896654889305539,189565.4889305539
66,0.1896654889305539,189565.4889305539
67,0.1896654889305539,189565.4889305539
68,0.1896654889305539,189565.4889305539
69,0.1896654889305539,189565.4889305539
70,0.1896654889305539,189565.4889305539
71,0.1896654889305539,189565.4889305539
72,0.1896654889305539,189565.4889305539
73,0.1896654889305539,189565.4889305539
74,0.1896654889305539,189565.4889305539
75,0.1896654889305539,189565.4889305539
76,0.1896654889305539,189565.4889305539
77,0.1896654889305539,189565.4889305539
78,0.1896654889305539,189565.4889305539
79,0.1896654889305539,189565.4889305539
80,0.1896654889305539,189565.4889305539
81,0.1896654889305539,189565.4889305539
82,0.1896654889305539,189565.4889305539
83,0.1896654889305539,189565.4889305539
84,0.1896654889305539,189565.4889305539
85,0.1896654889305539,189565.4889305539
86,0.1896654889305539,189565.4889305539
87,0.1896654889305539,189565.4889305539
88,0.1896654889305539,189565.4889305539
89,0.1896654889305539,189565.4889305539
90,0.1896654889305539,189565.4889305539
91,0.1896654889305539,189565.4889305539
92,0.1896654889305539,189565.4889305539
93,0.1896654889305539,189565.4889305539
94,0.1896654889305539,189565.4889305539
95,0.1896654889305539,189565.4889305539
96,0.1896654889305539,189565.4889305539
97,0.1896654889305539,189565.4889305539
98,0.1896654889305539,189565.4889305539
99,0.1896654889305539,189565.4889305539
100,0.1896654889305539,189565.4889305539
101,0.1896654889305539,189565.4889305539
102,0.1896654889305539,189565.4889305539
103,0.1896654889305539,189565.4889305539
104,0.1896654889305539,189565.4889305539
105,0.1896654889305539,189565.4889305539
106,0.1896654889305539,189565.4889305539
107,0.1896654889305539,189565.4889305539
108,0.1896654889305539,189565.4889305539
109,0.1896654889305539,189565.4889305539
110,0.1896654889305539,189565.4889305539
111,0.1896654889305539,189565.4889305539
112,0.1896654889305539,189565.4889305539
113,0.1896654889305539,189565.4889305539
114,0.1896654889305539,189565.4889305539
115,0.1896654889305539,189565.4889305539
116,0.1896654889305539,189565.4889305539
117,0.1896654889305539,189565.4889305539
118,0.1896654889305539,189565.4889305539
119,0.1896654889305539,189565.4889305539
120,0.1896654889305539,189565.4889305539
121,0.1896654889305539,189565.4889305539
122,0.1896654889305539,189565.4889305539
