trial_num,best_sharpe,improvement_pct
1,0.0001,
2,0.0001,0.0
3,0.0001,0.0
4,0.0001,0.0
5,0.0001,0.0
6,0.0001,0.0
7,0.0001,0.0
8,0.0001,0.0
9,0.0001,0.0
10,0.0001,0.0
11,0.0001,0.0
12,0.0001,0.0
13,0.0001,0.0
14,0.0001,0.0
15,0.0001,0.0
16,0.0001,0.0
17,0.0001,0.0
18,0.0001,0.0
19,0.0001,0.0
20,0.0001,0.0
21,0.0001,0.0
22,0.0001,0.0
23,0.0001,0.0
24,0.0001,0.0
25,0.0001,0.0
26,0.0001,0.0
27,0.0001,0.0
28,0.0001,0.0
29,0.0001,0.0
30,0.0001,0.0
31,0.0001,0.0
32,0.0001,0.0
33,0.0001,0.0
34,0.0001,0.0
35,0.0001,0.0
36,0.0001,0.0
37,0.0001,0.0
38,0.0001,0.0
39,0.0001,0.0
40,0.0001,0.0
41,0.0001,0.0
42,0.0001,0.0
43,0.0001,0.0
44,0.0001,0.0
45,0.0001,0.0
46,0.0001,0.0
47,0.0001,0.0
48,0.0001,0.0
49,0.0001,0.0
50,0.0001,0.0
51,0.0001,0.0
52,0.0001,0.0
53,0.0001,0.0
54,0.0001,0.0
55,0.0001,0.0
56,0.0001,0.0
57,0.0001,0.0
58,0.0001,0.0
59,0.0001,0.0
60,0.0001,0.0
61,0.0001,0.0
62,0.0001,0.0
63,0.0001,0.0
64,0.0001,0.0
65,0.0001,0.0
66,0.0001,0.0
67,0.0001,0.0
68,0.0001,0.0
69,0.0001,0.0
70,0.0001,0.0
71,0.0001,0.0
72,0.058854159132371055,58754.159132371045
73,0.058854159132371055,58754.159132371045
74,0.058854159132371055,58754.159132371045
75,0.058854159132371055,58754.159132371045
76,0.058854159132371055,58754.159132371045
77,0.058854159132371055,58754.159132371045
78,0.058854159132371055,58754.159132371045
79,0.058854159132371055,58754.159132371045
80,0.058854159132371055,58754.159132371045
81,0.058854159132371055,58754.159132371045
82,0.058854159132371055,58754.159132371045
83,0.058854159132371055,58754.159132371045
84,0.058854159132371055,58754.159132371045
85,0.058854159132371055,58754.159132371045
86,0.058854159132371055,58754.159132371045
87,0.058854159132371055,58754.159132371045
88,0.1940942185481843,193994.2185481843
89,0.1940942185481843,193994.2185481843
90,0.1940942185481843,193994.2185481843
91,0.1940942185481843,193994.2185481843
92,0.1940942185481843,193994.2185481843
93,0.1940942185481843,193994.2185481843
94,0.1940942185481843,193994.2185481843
95,0.1940942185481843,193994.2185481843
96,0.1940942185481843,193994.2185481843
97,0.1940942185481843,193994.2185481843
98,0.1940942185481843,193994.2185481843
99,0.1940942185481843,193994.2185481843
100,0.1940942185481843,193994.2185481843
101,0.1940942185481843,193994.2185481843
102,0.1940942185481843,193994.2185481843
103,0.1940942185481843,193994.2185481843
104,0.25499593781370444,254895.93781370446
105,0.25499593781370444,254895.93781370446
106,0.25499593781370444,254895.93781370446
107,0.25499593781370444,254895.93781370446
108,0.25499593781370444,254895.93781370446
109,0.25499593781370444,254895.93781370446
110,0.25499593781370444,254895.93781370446
111,0.25499593781370444,254895.93781370446
112,0.25499593781370444,254895.93781370446
113,0.25499593781370444,254895.93781370446
114,0.25499593781370444,254895.93781370446
115,0.25499593781370444,254895.93781370446
116,0.25499593781370444,254895.93781370446
117,0.25499593781370444,254895.93781370446
118,0.25499593781370444,254895.93781370446
119,0.25499593781370444,254895.93781370446
120,0.25499593781370444,254895.93781370446
121,0.25499593781370444,254895.93781370446
122,0.25499593781370444,254895.93781370446
123,0.25499593781370444,254895.93781370446
124,0.25499593781370444,254895.93781370446
125,0.25499593781370444,254895.93781370446
126,0.25499593781370444,254895.93781370446
127,0.25499593781370444,254895.93781370446
128,0.25499593781370444,254895.93781370446
129,0.25499593781370444,254895.93781370446
130,0.25499593781370444,254895.93781370446
131,0.25499593781370444,254895.93781370446
132,0.25499593781370444,254895.93781370446
133,0.25499593781370444,254895.93781370446
134,0.25499593781370444,254895.93781370446
135,0.25499593781370444,254895.93781370446
136,0.25499593781370444,254895.93781370446
137,0.25499593781370444,254895.93781370446
138,0.25499593781370444,254895.93781370446
139,0.25499593781370444,254895.93781370446
140,0.25499593781370444,254895.93781370446
141,0.25499593781370444,254895.93781370446
142,0.25499593781370444,254895.93781370446
143,0.25499593781370444,254895.93781370446
144,0.25499593781370444,254895.93781370446
145,0.25499593781370444,254895.93781370446
