trial_num,trial_id,datetime_start,datetime_complete,duration_sec,buy_threshold,rsi_period,sell_threshold,fitness_sharpe,best_sharpe_so_far,train_sharpe,train_net_profit_pct,train_max_drawdown,train_win_rate,train_total_trades,test_sharpe,test_net_profit_pct,test_max_drawdown,test_win_rate,test_total_trades,train_test_gap_pct
40,13745,2026-01-13 20:05:06.793507,2026-01-13 20:05:06.793507,0.0,34.0,27.0,63.0,0.0001,0.17011187877581233,,,,,,,,,,,
41,13746,2026-01-13 20:05:13.997366,2026-01-13 20:05:13.997366,0.0,35.0,18.0,77.0,0.0001,0.17011187877581233,,,,,,,,,,,
42,13747,2026-01-13 20:05:15.784710,2026-01-13 20:05:15.784710,0.0,35.0,9.0,78.0,0.0001,0.17011187877581233,,,,,,,,,,,
43,13748,2026-01-13 20:05:20.597270,2026-01-13 20:05:20.597270,0.0,39.0,13.0,83.0,0.12233962359037195,0.17011187877581233,,,,,,,,,,,
44,13749,2026-01-13 20:05:22.866462,2026-01-13 20:05:22.866462,0.0,34.0,25.0,78.0,0.07295311445193262,0.17011187877581233,,,,,,,,,,,
45,13750,2026-01-13 20:05:23.831134,2026-01-13 20:05:23.831134,0.0,25.0,21.0,66.0,0.0001,0.17011187877581233,,,,,,,,,,,
46,13751,2026-01-13 20:05:29.626046,2026-01-13 20:05:29.626046,0.0,25.0,30.0,73.0,0.0001,0.17011187877581233,,,,,,,,,,,
47,13752,2026-01-13 20:05:32.549692,2026-01-13 20:05:32.549692,0.0,33.0,23.0,65.0,0.0001,0.17011187877581233,,,,,,,,,,,
48,13753,2026-01-13 20:05:32.817466,2026-01-13 20:05:32.817466,0.0,25.0,19.0,73.0,0.0001,0.17011187877581233,,,,,,,,,,,
49,13754,2026-01-13 20:05:37.657911,2026-01-13 20:05:37.657911,0.0,37.0,18.0,82.0,0.1250939561816913,0.17011187877581233,,,,,,,,,,,
50,13755,2026-01-13 20:05:39.865000,2026-01-13 20:05:39.865000,0.0,22.0,27.0,69.0,0.0001,0.17011187877581233,,,,,,,,,,,
51,13756,2026-01-13 20:05:42.803596,2026-01-13 20:05:42.803596,0.0,34.0,29.0,73.0,0.0001,0.17011187877581233,,,,,,,,,,,
52,13757,2026-01-13 20:05:47.245475,2026-01-13 20:05:47.245475,0.0,21.0,19.0,78.0,0.0001,0.17011187877581233,,,,,,,,,,,
53,13758,2026-01-13 20:05:48.593054,2026-01-13 20:05:48.593054,0.0,30.0,12.0,84.0,0.0001,0.17011187877581233,,,,,,,,,,,
54,13759,2026-01-13 20:05:54.106688,2026-01-13 20:05:54.106688,0.0,45.0,11.0,65.0,0.0001,0.17011187877581233,,,,,,,,,,,
55,13760,2026-01-13 20:05:56.811117,2026-01-13 20:05:56.811117,0.0,39.0,15.0,65.0,0.0001,0.17011187877581233,,,,,,,,,,,
56,13761,2026-01-13 20:05:58.115077,2026-01-13 20:05:58.115077,0.0,24.0,28.0,62.0,0.0001,0.17011187877581233,,,,,,,,,,,
57,13762,2026-01-13 20:06:09.475379,2026-01-13 20:06:09.475379,0.0,30.0,9.0,79.0,0.10527397085489301,0.17011187877581233,,,,,,,,,,,
58,13763,2026-01-13 20:06:12.112246,2026-01-13 20:06:12.112246,0.0,28.0,12.0,79.0,0.0001,0.17011187877581233,,,,,,,,,,,
59,13764,2026-01-13 20:06:13.082342,2026-01-13 20:06:13.082342,0.0,42.0,28.0,72.0,0.0001,0.17011187877581233,,,,,,,,,,,
60,13765,2026-01-13 20:06:20.762288,2026-01-13 20:06:20.762288,0.0,38.0,18.0,82.0,0.1372299814097276,0.17011187877581233,,,,,,,,,,,
61,13766,2026-01-13 20:06:22.380536,2026-01-13 20:06:22.380536,0.0,21.0,27.0,82.0,0.0001,0.17011187877581233,,,,,,,,,,,
62,13767,2026-01-13 20:06:24.545735,2026-01-13 20:06:24.545735,0.0,35.0,8.0,72.0,0.0001,0.17011187877581233,,,,,,,,,,,
63,13768,2026-01-13 20:06:26.874720,2026-01-13 20:06:26.874720,0.0,29.0,18.0,82.0,0.14835789714425388,0.17011187877581233,,,,,,,,,,,
64,13769,2026-01-13 20:06:32.365953,2026-01-13 20:06:32.365953,0.0,21.0,25.0,60.0,0.0001,0.17011187877581233,,,,,,,,,,,
65,13770,2026-01-13 20:06:33.713428,2026-01-13 20:06:33.713428,0.0,28.0,16.0,81.0,0.0001,0.17011187877581233,,,,,,,,,,,
66,13771,2026-01-13 20:06:37.057597,2026-01-13 20:06:37.057597,0.0,41.0,7.0,61.0,0.0001,0.17011187877581233,,,,,,,,,,,
67,13772,2026-01-13 20:06:39.517103,2026-01-13 20:06:39.517103,0.0,36.0,20.0,75.0,0.0001,0.17011187877581233,,,,,,,,,,,
68,13773,2026-01-13 20:06:47.470626,2026-01-13 20:06:47.470626,0.0,28.0,10.0,62.0,0.0001,0.17011187877581233,,,,,,,,,,,
69,13774,2026-01-13 20:06:51.348981,2026-01-13 20:06:51.348981,0.0,43.0,26.0,83.0,0.0001,0.17011187877581233,,,,,,,,,,,
70,13775,2026-01-13 20:06:51.507080,2026-01-13 20:06:51.507080,0.0,37.0,29.0,68.0,0.0001,0.17011187877581233,,,,,,,,,,,
71,13776,2026-01-13 20:06:56.876033,2026-01-13 20:06:56.876033,0.0,41.0,24.0,78.0,0.0795352503123021,0.17011187877581233,,,,,,,,,,,
72,13777,2026-01-13 20:07:00.137799,2026-01-13 20:07:00.137799,0.0,31.0,9.0,72.0,0.0001,0.17011187877581233,,,,,,,,,,,
73,13778,2026-01-13 20:07:00.862632,2026-01-13 20:07:00.862632,0.0,20.0,16.0,77.0,0.0001,0.17011187877581233,,,,,,,,,,,
74,13779,2026-01-13 20:07:06.873311,2026-01-13 20:07:06.873311,0.0,31.0,12.0,76.0,0.0001,0.17011187877581233,,,,,,,,,,,
75,13780,2026-01-13 20:07:13.032833,2026-01-13 20:07:13.032833,0.0,25.0,10.0,76.0,0.0001,0.17011187877581233,,,,,,,,,,,
76,13781,2026-01-13 20:07:14.877155,2026-01-13 20:07:14.877155,0.0,30.0,9.0,72.0,0.0001,0.17011187877581233,,,,,,,,,,,
77,13782,2026-01-13 20:07:17.194748,2026-01-13 20:07:17.194748,0.0,33.0,22.0,85.0,0.0001,0.17011187877581233,,,,,,,,,,,
78,13783,2026-01-13 20:07:21.702613,2026-01-13 20:07:21.702613,0.0,40.0,29.0,72.0,0.0001,0.17011187877581233,,,,,,,,,,,
79,13784,2026-01-13 20:07:24.013514,2026-01-13 20:07:24.013514,0.0,24.0,7.0,61.0,0.0001,0.17011187877581233,,,,,,,,,,,
80,13785,2026-01-13 20:07:24.871792,2026-01-13 20:07:24.871792,0.0,24.0,23.0,77.0,0.0001,0.17011187877581233,,,,,,,,,,,
